"Pattern,Description,Example,Regex Hint"
"Mind Reading,Assuming someone else's thoughts or feelings without evidence.,I know what you're thinking.,\bI know (what|how)\b"
"Lost Performative,Value judgment without stating who is making the judgment.,That's bad.,\b(that|this|it)('s| is) (good|bad|important|wrong)\b"
"Cause and Effect,Implying one event causes another without clear link.,You're making me upset.,\byou.*make(s|d)? me\b"
"Complex Equivalence,Assuming two unrelated things are equal.,""He's not smiling, so he must be angry."",\bso (he|she|they|I) (must|has to|is)\b"
"Presupposition,Assuming something is true within the structure of the sentence.,Have you stopped ignoring the warnings?,\bstopped\b.*(ignoring|avoiding|denying)"
"Universal Quantifiers,""Using extreme, generalized language."",Everyone always does this.,\b(always|never|everyone|no one)\b"
"Modal Operators,""Words that imply necessity, possibility or impossibility."",You must comply.,\bmust|should|have to|can't|need to\b"
"Nominalization,Turning a process into a static noun.,There’s no communication.,\b(communication|failure|management|control)\b"
"Unspecified Verb,Using vague or abstract verbs.,They handled it.,\bhandled|addressed|dealt with|resolved\b"
"Unspecified Referential Index,No clear subject for the statement.,They said it was fine.,\bthey said\b|\bpeople (say|told)\b"
